Date,Sales
2018/10/17,22731
2018/10/18,34661
2018/10/19,4794.6
2018/10/20,18943.4
2018/10/21,5135.9
2018/10/22,37484.9
2018/10/23,38855.8
2018/10/24,32734.4
2018/10/25,64702.6
2018/10/26,44417.7
2018/10/27,24819
2018/10/28,4430.9
2018/10/29,39007
2018/10/30,60539.6
2018/10/31,19387.5
2018/11/01,15339.9
2018/11/02,12665.4
2018/11/03,10206.1
2018/11/04,2915.6
2018/11/05,10795.5
2018/11/06,8834.2
2018/11/07,1511.9
2018/11/08,5843.5
2018/11/09,7115.8
2018/11/10,9087.3
2018/11/11,3011.4
2018/11/12,19562.8
2018/11/13,11561
2018/11/14,13559.9
2018/11/15,15849.2
2018/11/16,18572.4
2018/11/17,15520
2018/11/18,3471
2018/11/19,23779.9
2018/11/20,26338.1
2018/11/21,17845.1
2018/11/22,55185.8
2018/11/23,17711.5
2018/11/24,33205.1
2018/11/25,5263.2
2018/11/26,70069
2018/11/27,49909.2
2018/11/28,42131.6
2018/11/29,47685.7
2018/11/30,21533.1
2018/12/01,12805.3
2018/12/02,3009.1
2018/12/03,13171.4
2018/12/04,11432.3
2018/12/05,11453
2018/12/06,10254.5
2018/12/07,10355.9
2018/12/08,5981
2018/12/09,2147.2
2018/12/10,9846.9
2018/12/11,8396.9
2018/12/12,8771.4
2018/12/13,8858.3
2018/12/14,10512.3
2018/12/15,10536.2
2018/12/16,2501.3
2018/12/17,15369.9
2018/12/18,29182.6
2018/12/19,23092.5
2018/12/20,27909.5
2018/12/21,25513.2
2018/12/22,17027.2
2018/12/23,3383.4
2018/12/24,44627.1
2018/12/25,9750.2
2018/12/26,55054.1
2018/12/27,41494.1
2018/12/28,44547.6
2018/12/29,37483.2
2018/12/30,4031.3
2018/12/31,24158.2
2019/01/01,8437.5
2019/01/02,12322.3
2019/01/03,8172.1
2019/01/04,8868.9
2019/01/05,6354.7
2019/01/06,1979.6
2019/01/07,7646
2019/01/08,7001.5
2019/01/09,5179.1
2019/01/10,8923
2019/01/11,9227.5
2019/01/12,5859.8
2019/01/13,2042.2
2019/01/14,9074.6
2019/01/15,12388
2019/01/16,10572.1
2019/01/17,12677.2
2019/01/18,13925.6
2019/01/19,11694.8
2019/01/20,3036.7
2019/01/21,25910.3
2019/01/22,34422.5
2019/01/23,27423.6
2019/01/24,33439.4
2019/01/25,53021.3
2019/01/26,2788.1
2019/01/27,4245
2019/01/28,72701.6
2019/01/29,60070.6
2019/01/30,35566.2
2019/01/31,22391.3
2019/02/01,16129.8
2019/02/02,9357.4
2019/02/03,2844.1
2019/02/04,12342.3
2019/02/05,10500.7
2019/02/06,8978.1
2019/02/07,7616.3
2019/02/08,8011.8
2019/02/09,5471.6
2019/02/10,2113.1
2019/02/11,10295.7
2019/02/12,9591.8
2019/02/13,9680.1
2019/02/14,10478.5
2019/02/15,10993.5
2019/02/16,9604.8
2019/02/17,2693.6
2019/02/18,15910.3
2019/02/19,31827.7
2019/02/20,25100.5
2019/02/21,28831.4
2019/02/22,32129
2019/02/23,22354.1
2019/02/24,4648.2
2019/02/25,73733.6
2019/02/26,65777.8
2019/02/27,40431.9
2019/02/28,46564.2
2019/03/01,19516.4
2019/03/02,12366.2
2019/03/03,3036.7
2019/03/04,8378
2019/03/05,15222.8
2019/03/06,11074
2019/03/07,10256.1
2019/03/08,9366.4
2019/03/09,6810.4
2019/03/10,2591
2019/03/11,12175.7
2019/03/12,12508.9
2019/03/13,11208.1
2019/03/14,11988.4
2019/03/15,20321.9
2019/03/16,12435.1
2019/03/17,2953.8
2019/03/18,26248.7
2019/03/19,24450.2
2019/03/20,22636.5
2019/03/21,2167.8
2019/03/22,40821.1
2019/03/23,26656.1
2019/03/24,5055.1
2019/03/25,75407
2019/03/26,58064
2019/03/27,30192.8
2019/03/28,50720.4
2019/03/29,23632.1
2019/03/30,12616.4
2019/03/31,2762.7
2019/04/01,7406.1
2019/04/02,5257.1
2019/04/03,4290.3
2019/04/04,4654.4
2019/04/05,3990.6
2019/04/06,3408.7
2019/04/07,1573.4
2019/04/08,5079.6
2019/04/09,4785.9
2019/04/10,4712.8
2019/04/11,6828.8
2019/04/12,5920.6
2019/04/13,3536.7
2019/04/14,1558.2
2019/04/15,8089.9
2019/04/16,9150.6
2019/04/17,6756.2
2019/04/18,15371.2
2019/04/19,4787.3
2019/04/20,15528.8
2019/04/21,3407
2019/04/22,29316.4
2019/04/23,25288.4
2019/04/24,29927.4
2019/04/25,33601.1
2019/04/26,48489.9
2019/04/27,40230.3
2019/04/28,5035
2019/04/29,61319.4
2019/04/30,29912.8
2019/05/01,16402.6
2019/05/02,15126.4
2019/05/03,11177.2
2019/05/04,7933.8
2019/05/05,2854
2019/05/06,10437.2
2019/05/07,9716.5
2019/05/08,9119.2
2019/05/09,9336.8
2019/05/10,9110.9
2019/05/11,6406.7
2019/05/12,2199.9
2019/05/13,11360
2019/05/14,12447.4
2019/05/15,12670.2
2019/05/16,13216
2019/05/17,24761.5
2019/05/18,10843.4
2019/05/19,4212.9
2019/05/20,33563.4
2019/05/21,35515.8
2019/05/22,34907.9
2019/05/23,37652.8
2019/05/24,39348
2019/05/25,27442.4
2019/05/26,6399.5
2019/05/27,74048.3
2019/05/28,48082.2
2019/05/29,54858.4
2019/05/30,41381.3
2019/05/31,19249.4
2019/06/01,13361
2019/06/02,4812
2019/06/03,15710.8
2019/06/04,14293
2019/06/05,5355.9
2019/06/06,15637.7
2019/06/07,13038.6
2019/06/08,9359.8
2019/06/09,3939.8
2019/06/10,15627.6
2019/06/11,15100.5
2019/06/12,14455.2
2019/06/13,14240.6
2019/06/14,17115.1
2019/06/15,14856.8
2019/06/16,4793
2019/06/17,23135.1
2019/06/18,25090.1
2019/06/19,25626.9
2019/06/20,38199.9
2019/06/21,47246.4
2019/06/22,21461.1
2019/06/23,7670.9
2019/06/24,56545.3
2019/06/25,51273.2
2019/06/26,53670.9
2019/06/27,67121.7
2019/06/28,63249.8
2019/06/29,32458.2
2019/06/30,6353.9
2019/07/01,23003.8
2019/07/02,19508.5
2019/07/03,17317
2019/07/04,15125.5
2019/07/05,13859.1
2019/07/06,13318.4
2019/07/07,5610.9
2019/07/08,17737.1
2019/07/09,15961.9
2019/07/10,15614.7
2019/07/11,16725.7
2019/07/12,17235.5
2019/07/13,12056.1
2019/07/14,6060.5
2019/07/15,23048.2
2019/07/16,22371.9
2019/07/17,21738.7
2019/07/18,43923.7
2019/07/19,29724.8
2019/07/20,25612.4
2019/07/21,6632.6
2019/07/22,45451.8
2019/07/23,38933.9
2019/07/24,47496.7
2019/07/25,50059.2
2019/07/26,55538.3
2019/07/27,38635.1
2019/07/28,8328
2019/07/29,76956.8
2019/07/30,31973.6
2019/07/31,24699
2019/08/01,18898.2
2019/08/02,17726.7
2019/08/03,13146.9
2019/08/04,5987.1
2019/08/05,16716.4
2019/08/06,15604.3
2019/08/07,15581
2019/08/08,13851.7
2019/08/09,13610.9
2019/08/10,10305.7
2019/08/11,3981
2019/08/12,6425.8
2019/08/13,20999
2019/08/14,17492.2
2019/08/15,3217.1
2019/08/16,19665.1
2019/08/17,15133.7
2019/08/18,5708
2019/08/19,28430.8
2019/08/20,42350.5
2019/08/21,24144.2
2019/08/22,32660.3
2019/08/23,51345.3
2019/08/24,11040.6
2019/08/25,7555.9
2019/08/26,76855.4
2019/08/27,60822.8
2019/08/28,59058.5
2019/08/29,66909
2019/08/30,37946.9
2019/08/31,24087.9
2019/09/01,6508.2
2019/09/02,20851
2019/09/03,17686.3
2019/09/04,16238.5
2019/09/05,17684.8
2019/09/06,16770.8
2019/09/07,13681.2
2019/09/08,5377.9
2019/09/09,18013.6
2019/09/10,8949.6
2019/09/11,19539.5
2019/09/12,19980.1
2019/09/13,17117.9
2019/09/14,12597.8
2019/09/15,5282.6
2019/09/16,23566.4
2019/09/17,21552.7
2019/09/18,42180.3
2019/09/19,28093.4
2019/09/20,31941.9
2019/09/21,29022.1
2019/09/22,7198
2019/09/23,58347.6
2019/09/24,55071.4
2019/09/25,51987.1
2019/09/26,51983.5
2019/09/27,57381.2
2019/09/28,45213.2
2019/09/29,7451.1
2019/09/30,45008.1
2019/10/01,19706.5
2019/10/02,6054.1
2019/10/03,19278.2
2019/10/04,14499.4
2019/10/05,13129
2019/10/06,5060.2
2019/10/07,14750.3
2019/10/08,4785.6
2019/10/09,16788
2019/10/10,16619
2019/10/11,15167.4
2019/10/12,10330.9
2019/10/13,4677.3
2019/10/14,20604.7
2019/10/15,21115.8
2019/10/16,20422.1
2019/10/17,22340.8
2019/10/18,48591.5
2019/10/19,24108.1
2019/10/20,6107.8
2019/10/21,50549.4
2019/10/22,57816.7
2019/10/23,41733.3
2019/10/24,48369.7
2019/10/25,60572.4
2019/10/26,20419
2019/10/27,2416.6
2019/10/28,30995.2
2019/10/29,22823.1
2019/10/30,30631.4
2019/10/31,22340.3
2019/11/01,15410.8
2019/11/02,9801.7
2019/11/03,3541.2
2019/11/04,14631.5
2019/11/05,12010.6
2019/11/06,10988.9
2019/11/07,10899.9
2019/11/08,9983.8
2019/11/09,6276.5
2019/11/10,2521.4
2019/11/11,12038.8
2019/11/12,6078.6
2019/11/13,14545.8
2019/11/14,14845.5
2019/11/15,17496.2
2019/11/16,16003.2
2019/11/17,4595.1
2019/11/18,42107.4
2019/11/19,36581.8
2019/11/20,39892
2019/11/21,48329.5
2019/11/22,59797.5
2019/11/23,18623.2
2019/11/24,4495.1
2019/11/25,47455.7
2019/11/26,50108
2019/11/27,40303
2019/11/28,49182.3
2019/11/29,25446
2019/11/30,15390.9
2019/12/01,3012.1
2019/12/02,13229.5
2019/12/03,10515.6
2019/12/04,9928.2
2019/12/05,10090.6
2019/12/06,9650.9
2019/12/07,6406.6
2019/12/08,2360.7
2019/12/09,9899.7
2019/12/10,8546.8
2019/12/11,8643.2
2019/12/12,9299.9
2019/12/13,10904.9
2019/12/14,7253.7
2019/12/15,2509.9
2019/12/16,18611.5
2019/12/17,23965
2019/12/18,22363.1
2019/12/19,25555.6
2019/12/20,29049.3
2019/12/21,23002
2019/12/22,5304.6
2019/12/23,45420.6
2019/12/24,42336.8
2019/12/25,9293.7
2019/12/26,51757.3
2019/12/27,44154.6
2019/12/28,21527.6
2019/12/29,3058.5
2019/12/30,47041.5
2019/12/31,20839.1
2020/01/01,7353.6
2020/01/02,7959.7
2020/01/03,7559.3
2020/01/04,6162.3
2020/01/05,2085.9
2020/01/06,8120
2020/01/07,7464.4
2020/01/08,6385.6
2020/01/09,7873
2020/01/10,8899.9
2020/01/11,5812.9
2020/01/12,2215.1
2020/01/13,8717.6
2020/01/14,11287
2020/01/15,12726
2020/01/16,15798.4
2020/01/17,18667.6
2020/01/18,19180.4
2020/01/19,4331.7
2020/01/20,32589.4
2020/01/21,36437.7
2020/01/22,32795.7
2020/01/23,30409.3
2020/01/24,40005.7
2020/01/25,15070.5
2020/01/26,2343.3
2020/01/27,41210.2
2020/01/28,48276.2
2020/01/29,43421.1
2020/01/30,33991.7
2020/01/31,16010.9
2020/02/01,6986.7
2020/02/02,2718.4
2020/02/03,10131.1
2020/02/04,9970.3
2020/02/05,10905.6
2020/02/06,8210.8
2020/02/07,9080.8
2020/02/08,2191.7
2020/02/09,2559.2
2020/02/10,9920.1
2020/02/11,9332.1
2020/02/12,10593.3
2020/02/13,12838.9
2020/02/14,14402.9
2020/02/15,10866.3
2020/02/16,3598.1
2020/02/17,24425.7
2020/02/18,32450.5
2020/02/19,35041.9
2020/02/20,28088.8
2020/02/21,24412.5
2020/02/22,18723.1
2020/02/23,4274.9
2020/02/24,45805.7
2020/02/25,35566.3
2020/02/26,46703
